idx,z,e,age,sex,x,y
331695,[],[0.110944817186324],66,0,92.99617161269296,47.836829612772895
336139,[],[0.172670256161112],52,0,27.59235661579289,23.392831142055954
339066,[],[0.0930025565873513],44,0,34.306517713109,42.01693863817163
340007,[],[0.219167741805176],41,0,47.49859005183465,22.692092357439076
341325,[],[0.152200800744179],37,1,96.56424519167093,85.36909113312099
341342,[],[0.177131921147374],37,0,82.28672909989976,32.864248226450286
341443,[],[0.0800648029164343],37,0,6.959382400649461,20.894420628876393
341577,[],[0.226945078100882],36,0,61.72240040350144,68.20868463773711
342112,[],[0.429765057547259],35,1,64.11960862898304,55.90220039631696
342561,[],[0.231382233754879],33,0,52.1159848138528,24.484407823038314
343313,[],[0.857982361200689],31,1,76.52994960283988,18.16520611682066
343342,[],[0.419426646201223],31,1,80.99442078270674,73.17516475503268
343738,[],[0.262333646609794],30,1,98.58544500512093,15.21303721432941
343747,[],[0.532853791568359],30,0,66.49378845470665,39.81097499917399
344034,[],[0.178758430747611],29,1,84.16982624366345,36.425051032957924
344379,[],[0.0954990612349289],28,0,32.47203558779555,15.09020587501752
344637,[],[0.577683971089085],27,0,90.65221249576636,68.84112212419475
344870,[],[0.198947331047817],27,0,58.62965690664327,55.73965004114391
344912,[],[0.829943776770179],26,0,72.9459680259661,29.840589394045903
344955,[],[0.642141494404245],26,0,71.18123697243196,30.58183993535756
344964,[],[0.57988650930704],26,1,57.13877375326226,61.519880638721766
345179,[],[0.223711762600897],26,1,63.30750424386145,4.723368876837849
345305,[],[0.0598583689940126],25,1,26.074959225210428,43.06657463203903
345369,[],[0.171192160273063],25,0,88.40235309514941,29.96934187950573
345370,[],[0.248640693836333],25,0,40.25370947821444,37.45758906379813
345405,[],[0.556036741185116],25,0,94.33664869018071,69.07191147443491
345433,[],[0.224780707514552],25,1,40.91143234078777,33.78091239062006
345501,[],[0.579297915039029],25,1,64.03782804637332,60.79898447173032
345613,[],[0.426152113657358],24,0,14.637219222659253,4.8181918336514125
345642,[],[0.379332033180979],24,1,44.560571642154954,66.2316248836671
345655,[],[0.567945402127356],24,0,54.194436828451956,62.71132986933163
345795,[],[0.526090495519565],24,1,70.34236474898425,61.85743691108964
345811,[],[0.170258577485295],24,0,92.3585813899808,50.94897913784133
345848,[],[0.456653668239476],24,1,75.80652173988153,30.812168455634673
346158,[],[0.15775957558439],23,1,45.03021511910558,5.823863552787078
346529,[],[0.137707245180577],22,0,42.583064500031675,66.05628778632008
346554,[],[0.13733646097483],22,1,38.640686721733516,19.997754705548694
346622,[],[0.775260021745852],21,1,76.52451094404503,20.70927817676063
346703,[],[0.179013663314816],21,1,85.74251424509352,32.11526057501795
346705,[],[0.673269884111272],21,0,72.43510819318455,27.670821655493487
346772,[],[0.170552192225244],21,1,98.10128058510834,23.128635108478363
346862,[],[0.681120173912811],21,1,73.66436373010808,4.1796730925580805
346878,[],[0.157210695162148],21,1,87.99880874855594,21.551402427511064
346918,[],[0.678689754478608],21,0,78.61956864297986,9.994775314952172
346930,[],[0.130623570926705],21,0,93.1164801842952,86.52082640256616
346962,[],[0.712709864978659],20,1,74.16242237806576,27.630545973603365
346966,[],[0.164205061893848],20,1,96.19503426190728,16.328264602761156
346980,[],[0.469571111199182],20,1,14.264481673130968,2.251745375547256
347023,[],[0.687915943584109],20,1,79.76895602262078,16.93012023490756
347109,[],[0.453513224412517],20,1,99.23447559460402,59.85827192551015
347154,[],[0.621810189031512],20,0,92.97785230135729,68.9339576902398
347200,[],[0.373742712686116],20,0,46.74765152687681,63.94785091732467
347271,[],[0.108214578212126],20,1,31.209206841077233,10.606423311163995
347326,[],[0.223224490678655],19,0,41.479096259726376,36.39406631426517
347328,[],[0.495427287217828],19,1,66.03322152446934,43.02832187601885
347356,[],[0.36006744649501],19,1,79.1936088058992,74.48842649356968
347385,[],[0.251905991218373],19,1,41.783568547682954,32.845260677579574
347388,[],[0.726954151072169],19,1,77.1680853181965,20.60179445182031
347396,[],[0.602077973549225],19,0,56.492870473305516,62.29914706442948
347435,[],[0.210712436819369],19,0,54.19601676658467,70.08653492639299
347485,[],[0.456252902154146],19,0,70.74381024220878,59.35740994287503
347585,[],[0.23270083071091],19,1,36.18300901856234,5.169732379141124
347599,[],[0.58786256797957],19,0,81.0891774440933,16.65312988805523
347673,[],[0.206390112978645],18,0,38.20083053999414,3.884346635065268
347698,[],[0.227445969030874],18,0,97.24932352972738,14.977207071100334
347700,[],[0.523900301713352],18,1,65.20408458836852,59.68934388015227
347720,[],[0.239277024876476],18,0,91.73033331986606,43.31470677198644
347732,[],[0.210360255404878],18,0,96.55948832317662,26.93396714605073
347763,[],[0.143415561729608],18,1,52.29207868491193,46.03090421746549
347778,[],[0.611418577441141],18,0,72.23744658789607,31.379402174957164
347799,[],[0.181278851855758],18,1,38.980391652970944,77.32013095528941
347810,[],[0.171036409224825],18,0,62.66404849044651,71.79148416424876
347818,[],[0.196423754778754],18,0,63.50181321119121,30.257266046877184
347845,[],[0.0653148941375691],18,0,96.47295184967028,75.67192809315218
347857,[],[0.0783489785012647],18,0,27.012965874682315,8.912833391799722
347865,[],[0.695923168242463],18,1,63.66352078670693,1.585624257742488
347877,[],[0.221485541216306],18,0,44.69672892596349,22.5152966139637
347907,[],[0.303381795560485],18,0,57.71916301609236,68.1962165291344
347988,[],[0.350603049921478],17,0,80.72504473305516,44.02591660267689
348003,[],[0.143097262482301],17,0,98.4960454163689,33.931780934670535
348005,[],[0.619751078881842],17,0,67.27389845363129,61.39278985227238
348007,[],[0.257955887070268],17,0,45.071657774324244,66.7824668097227
348035,[],[0.067501346738832],17,1,1.8831397567266994,3.655542328464314
348053,[],[0.562145580702642],17,1,79.33814960699277,9.738855366329249
